formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
volume_base_breakout,case_301511_broad,301419,formula_exit_or_5,5,12,0.666667,0.031075,-0.025858,1.201740,0.000000,0.000000,61.546201,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301421,fixed_60,60,37,0.594595,0.085589,-0.201208,0.425376,0.000000,0.000000,64.964720,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301421,fixed_15,15,10,1.000000,0.268100,-0.053190,5.040421,0.000000,0.000000,94.299681,{}
gs_raw_buy,fast_x3_cooldown,301421,fixed_60,60,31,0.548387,0.080284,-0.216061,0.371579,0.000000,0.000000,63.309509,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
volume_base_breakout,strict_two_month_box,301421,fixed_30,30,1,1.000000,0.508800,-0.175300,2.902453,0.000000,0.000000,75.091124,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,default,301428,formula_exit_or_5,5,86,0.511628,0.013528,-0.050510,0.267824,0.000000,0.000000,43.451910,{}
gs_raw_buy,wide_band_cooldown,301428,fixed_20,20,27,0.555556,0.014930,-0.105856,0.141038,0.000000,0.037037,44.466300,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
ma_base_breakout,strict_120_180,301428,fixed_15,15,1,1.000000,0.141800,-0.040100,3.536160,0.000000,0.000000,78.259657,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
volume_base_breakout,long_quiet_box,301428,formula_exit_or_15,15,2,1.000000,0.071650,-0.035650,2.009818,0.000000,0.000000,73.891371,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
activity_breakout,classic_capped,301429,fixed_20,20,26,0.576923,0.025681,-0.076973,0.333633,0.076923,0.000000,51.047012,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
gs_pullback_confirm,loose,301429,fixed_5,5,11,0.454545,-0.007591,-0.053173,-0.142759,0.000000,0.000000,29.127112,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
gs_raw_buy,medium_x3_cooldown,301429,fixed_20,20,26,0.615385,0.048269,-0.074146,0.651001,0.000000,0.000000,65.851160,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
volume_base_breakout,default_broad,301429,fixed_5,5,24,0.666667,0.023421,-0.019854,1.179643,0.000000,0.000000,57.608633,{}
activity_breakout,classic_capped,301439,fixed_15,15,31,0.451613,-0.003571,-0.095184,-0.037517,0.000000,0.000000,31.575321,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
gs_pullback_confirm,loose,301439,fixed_15,15,16,0.625000,0.042156,-0.076637,0.550073,0.000000,0.000000,62.578492,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
gs_raw_buy,default,301439,fixed_20,20,40,0.525000,0.030562,-0.065437,0.467049,0.000000,0.000000,53.366494,{}
volume_base_breakout,strict_two_month_box,301439,fixed_30,30,2,1.000000,0.147650,-0.056500,2.613274,0.000000,0.000000,76.908654,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,strict_capped,301446,fixed_20,20,31,0.548387,0.019235,-0.088542,0.217247,0.000000,0.000000,47.155591,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301446,formula_exit_or_60,60,15,0.866667,0.058473,-0.051440,1.136729,0.000000,0.000000,76.683644,{}
gs_raw_buy,wide_band_cooldown,301446,formula_exit_or_30,30,24,0.500000,0.030925,-0.034433,0.898112,0.000000,0.000000,54.953061,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
