formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,local_optuna_t24_vsplit,000596,fixed_10,10,11,1.000000,0.066009,-0.019345,3.412124,0.000000,0.000000,92.060620,"{""big_bull_line"": 9.0, ""max_close_ret"": 9.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 12, ""strong_line"": 3.0, ""x15_multiplier"": 1.3}"
activity_breakout,local_optuna_t24_vsplit,000603,fixed_30,30,23,0.782609,0.132396,-0.088587,1.494528,0.000000,0.043478,75.516116,"{""big_bull_line"": 9.0, ""max_close_ret"": 8.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 6, ""strong_line"": 4.0, ""x15_multiplier"": 1.3}"
activity_breakout,local_optuna_t24_vsplit,000607,fixed_5,5,50,0.520000,0.008676,-0.046722,0.185694,0.000000,0.000000,40.866471,"{""big_bull_line"": 5.5, ""max_close_ret"": 11.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 12, ""strong_line"": 4.5, ""x15_multiplier"": 1.6}"
volume_base_breakout,local_optuna_t24_vsplit,000612,fixed_60,60,9,1.000000,0.143344,-0.120156,1.192991,0.000000,0.000000,79.497521,"{""amount_spike_ratio"": 2.8, ""base_ceiling"": 1.26, ""base_floor"": 0.79, ""base_max_days"": 70, ""base_min_days"": 20, ""base_range_max"": 0.29, ""breakout_max_extension"": 1.11, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.39999999999999997, ""signal_cooldown_days"": 10, ""spike_lookback"": 70, ""spike_ratio"": 2.8, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.85}"
gs_pullback_confirm,local_optuna_t24_vsplit,000623,fixed_60,60,12,1.000000,0.070142,-0.010558,6.643252,0.000000,0.000000,95.000000,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.9, ""maxlen_max"": 18, ""maxrun_max"": 12, ""rate_min"": 35, ""sellpct_max"": 60}"
volume_base_breakout,local_optuna_t24_vsplit,000623,fixed_5,5,9,0.888889,0.043411,-0.007900,5.495077,0.000000,0.000000,86.904790,"{""amount_spike_ratio"": 2.4, ""base_ceiling"": 1.3, ""base_floor"": 0.87, ""base_max_days"": 80, ""base_min_days"": 35, ""base_range_max"": 0.27, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.44999999999999996, ""signal_cooldown_days"": 16, ""spike_lookback"": 70, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": -0.01, ""warm_vol_ratio"": 0.85}"
activity_breakout,local_optuna_t24_vsplit,000629,formula_exit_or_10,10,36,0.638889,0.031194,-0.025369,1.229607,0.055556,0.000000,60.356368,"{""big_bull_line"": 5.0, ""max_close_ret"": 12.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.3}"
gs_pullback_confirm,local_optuna_t24_vsplit,000637,fixed_60,60,10,1.000000,0.154330,-0.075570,2.042213,0.000000,0.000000,84.510744,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.8, ""maxlen_max"": 17, ""maxrun_max"": 11, ""rate_min"": 30, ""sellpct_max"": 50}"
activity_breakout,local_optuna_t24_vsplit,000650,formula_exit_or_5,5,22,0.636364,0.019877,-0.007686,2.586044,0.000000,0.000000,61.959764,"{""big_bull_line"": 6.0, ""max_close_ret"": 8.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 13, ""strong_line"": 4.0, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000663,fixed_60,60,34,0.617647,0.052668,-0.139326,0.378016,0.000000,0.029412,65.125375,"{""big_bull_line"": 7.5, ""max_close_ret"": 10.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 7, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
