stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
300349,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_60,fixed_20,43.963197,82.218182,38.254984,28.376043,59.465253,31.089210,11,3,0.818182,0.666667,0.076036,0.054133,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 11.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 8, ""strong_line"": 2.5, ""x15_multiplier"": 1.1}"
300827,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_10,formula_exit_or_5,41.733177,79.841772,38.108596,20.036498,56.512100,36.475603,42,13,0.666667,0.692308,0.094917,0.025015,24,0.300000,"{""big_bull_line"": 6.5, ""max_close_ret"": 14.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 14, ""strong_line"": 2.5, ""x15_multiplier"": 1.1}"
000637,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,fixed_15,fixed_60,46.423656,84.510744,38.087088,18.951804,72.782297,53.830493,10,3,1.000000,1.000000,0.154330,0.104933,24,0.300000,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.8, ""maxlen_max"": 17, ""maxrun_max"": 11, ""rate_min"": 30, ""sellpct_max"": 50}"
603151,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_20,46.053520,83.562871,37.509351,60.507739,63.239932,2.732193,9,3,0.888889,0.666667,0.112700,0.087867,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 14, ""strong_line"": 2.5, ""x15_multiplier"": 1.0}"
002678,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_15,fixed_20,38.679096,75.968261,37.289165,61.843783,66.779778,4.935996,12,4,0.833333,0.750000,0.068008,0.076925,24,0.300000,"{""big_bull_line"": 8.0, ""max_close_ret"": 8.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 11, ""strong_line"": 2.5, ""x15_multiplier"": 1.0}"
600116,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_cooldown,local_optuna_t24_vsplit,formula_exit_or_5,fixed_5,34.585403,71.839681,37.254278,30.761179,38.908716,8.147537,10,3,0.700000,0.666667,0.023080,0.008167,24,0.300000,"{""amount_spike_ratio"": 2.4, ""base_ceiling"": 1.2, ""base_floor"": 0.84, ""base_max_days"": 100, ""base_min_days"": 30, ""base_range_max"": 0.31, ""breakout_max_extension"": 1.08, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 18, ""spike_lookback"": 120, ""spike_ratio"": 2.4, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.019999999999999997, ""warm_vol_ratio"": 1.05}"
000553,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_5,fixed_5,43.568884,80.420657,36.851774,33.663728,86.147409,52.483680,9,3,1.000000,1.000000,0.039444,0.064633,24,0.300000,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.8600000000000001, ""maxlen_max"": 23, ""maxrun_max"": 10, ""rate_min"": 55, ""sellpct_max"": 55}"
600222,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_20,fixed_5,38.307780,74.490968,36.183188,23.635916,39.807569,16.171652,15,4,0.733333,0.750000,0.054993,0.006075,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 13, ""strong_line"": 4.5, ""x15_multiplier"": 1.1}"
603893,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_10,formula_exit_or_5,50.747710,86.023844,35.276134,60.455754,65.816957,5.361203,12,4,0.750000,0.500000,0.066750,0.060200,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 9.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 9, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
300983,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_60,56.185918,91.309108,35.123191,75.561620,77.816128,2.254508,12,4,1.000000,1.000000,0.171300,0.136200,24,0.300000,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.9, ""maxlen_max"": 24, ""maxrun_max"": 12, ""rate_min"": 40, ""sellpct_max"": 50}"
