stock_code,strategy_id,formula_id,display_name,best_holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,effectiveness_score,effectiveness_label,untradable_rate,completion_rate,best_sell_rule,best_sell_rule_score,params
603696,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,15,6,0.666667,0.155633,-0.033183,4.690105,41.800000,稳定/不明显,0.000000,1.000000,formula_exit_or_15,80.661837,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603697,formula_activity_breakout,activity_breakout,活跃度大牛突破,60,34,0.441176,0.028050,-0.126132,0.222385,0.000000,退化中,0.000000,1.000000,fixed_60,48.372221,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
603697,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,15,2,1.000000,0.022900,0.000000,,,样本不足,0.000000,1.000000,fixed_15,70.292282,"{""ma_pull_high"": 0.98, ""ma_pull_low"": 0.85, ""maxlen_max"": 15, ""maxrun_max"": 6, ""rate_min"": 50, ""sellpct_max"": 50}"
603697,formula_gs_raw_buy,gs_raw_buy,GS原始买点,30,35,0.428571,0.042937,-0.017943,2.392994,12.800000,退化中,0.000000,1.000000,formula_exit_or_30,66.290682,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
603697,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,60,36,0.361111,0.062581,-0.016158,3.872959,0.000000,退化中,0.027800,1.000000,formula_exit_or_60,74.920348,{}
603698,formula_activity_breakout,activity_breakout,活跃度大牛突破,60,56,0.517857,0.144443,-0.123979,1.165063,20.600000,退化中,0.017900,1.000000,fixed_60,66.182458,{}
603698,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,60,6,0.833333,0.072033,-0.091150,0.790272,68.900000,样本陈旧,0.000000,1.000000,formula_exit_or_60,69.613199,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
603698,formula_gs_raw_buy,gs_raw_buy,GS原始买点,20,29,0.413793,0.058614,-0.029545,1.983894,75.900000,改善观察,0.034500,1.000000,formula_exit_or_20,66.988433,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603698,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,2,1.000000,0.189350,-0.032300,,,样本不足,0.000000,1.000000,fixed_10,83.842282,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
603699,formula_activity_breakout,activity_breakout,活跃度大牛突破,60,75,0.760000,0.117292,-0.068944,1.701265,0.000000,退化中,0.026700,1.000000,fixed_60,76.039657,{}
603699,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,30,41,0.829268,0.078417,-0.029507,2.657547,21.400000,样本陈旧,0.048800,1.000000,fixed_30,82.677977,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
603699,formula_gs_raw_buy,gs_raw_buy,GS原始买点,60,43,0.767442,0.126519,-0.067979,1.861141,70.500000,增强中,0.000000,1.000000,fixed_60,77.328959,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
603699,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,60,51,0.764706,0.104278,-0.060488,1.723946,0.000000,退化中,0.019600,1.000000,fixed_60,76.364826,{}
603700,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,18,0.500000,0.003500,-0.019678,0.177866,4.600000,退化中,0.055600,1.000000,formula_exit_or_5,37.083773,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
